"question","description"
"What is the capital of France?","Basic geography of a European country."
"How does photosynthesis work?","Fundamental biological process in plants."
"What are the symptoms of the common cold?","Indicators of a common illness."
"Explain the theory of relativity.","Major physics concept."
"Who painted the Mona Lisa?","Famous artwork and its creator."
"What is the best way to learn a new language?","Effective language acquisition strategies."
"What are the different types of clouds?","Atmospheric formations in meteorology."
"How to bake a chocolate cake?","Instructions for preparing a specific dessert."
"What is the history of the internet?","Origins and development of a global network."
"Explain the concept of supply and demand in economics.","Fundamental economic principle."
"What are the main causes of climate change?","Primary drivers of global warming."
"Describe the plot of Hamlet.","Narrative of a Shakespearean play."
"How does a computer processor work?","Simplified explanation of CPU operation."
"What are the benefits of exercise?","Positive effects of physical activity."
"Who invented the telephone?","History of technology and a key communication device."
"What is the difference between a democracy and a republic?","Clarifying two forms of government in political science."
"Explain the concept of artificial intelligence.","Definition and overview of AI."
"What are the ingredients in pizza dough?","Components of a basic food item in culinary arts."
"What is the highest mountain in the world?","Earth's tallest peak in geography."
"Describe the characteristics of a black hole.","Dense celestial object in astrophysics."
"How to write a good resume?","Effective techniques for creating a professional CV."
"What are the major rivers in Africa?","Significant waterways on a continent in geography."
"Explain the principles of quantum mechanics.","Overview of a complex area of physics."
"What are the different types of renewable energy?","Sustainable energy sources."
"Who directed the movie \"Citizen Kane\"?","Renowned director and film in film history."
"What is the function of the kidneys?","Role of a vital organ in biology."
"How to play a basic guitar chord?","Fundamental musical skill instructions."
"What is the significance of the Magna Carta?","Key historical document."
"Explain the concept of inflation in economics.","Macroeconomic phenomenon."
"What are the layers of the Earth's atmosphere?","Structure of the atmosphere in Earth science."
"Describe the main characters in \"Pride and Prejudice\".","Key figures in a novel in literature."
"How does a combustion engine work?","Simplified explanation of internal combustion."
"What are the health risks of smoking?","Negative effects of tobacco use."
"Who discovered penicillin?","Major medical breakthrough in history of science."
"What is the difference between mitosis and meiosis?","Clarifying two types of cell division in biology."
"Explain the concept of blockchain technology.","Definition and overview of blockchain."
"What are the steps in baking bread?","Process of making a staple food in culinary arts."
"What is the largest ocean on Earth?","Planet's biggest body of water in geography."
"Describe the life cycle of a butterfly.","Metamorphosis of an insect in biology."
"How to give effective feedback?","Methods for constructive criticism."
"What are the primary languages spoken in South America?","Continental languages in linguistics/geography."
"Explain the principles of genetics.","Overview of the science of heredity."
"What are the different types of stars?","Stellar classification in astronomy."
"Who wrote the poem \"The Raven\"?","Famous poem and its author in literature."
"What is the function of the liver?","Role of a vital organ in biology."
"How to tie a basic knot?","Fundamental practical skill instructions."
"What is the significance of the French Revolution?","Pivotal historical event."
"Explain the concept of GDP in economics.","Key economic indicator."
"What are the different types of rocks?","Classification of rocks in geology."
"Describe the setting of the novel \"To Kill a Mockingbird\".","Time and place of a story in literature."
"How does a refrigerator work?","Simplified explanation of refrigeration."
"What are the benefits of meditation?","Positive effects of mindfulness practices."
"Who developed the theory of evolution by natural selection?","Foundational biological theory in history of science."
"What is the difference between a virus and a bacterium?","Clarifying two types of microorganisms in biology."
"Explain the concept of cryptocurrency.","Definition and overview of digital currencies."
"What are the basic ingredients for making pasta?","Components of a common dish in culinary arts."
"What is the longest river in the world?","Earth's longest waterway in geography."
"Describe the structure of an atom.","Fundamental unit of matter in chemistry."
"How to improve your memory?","Techniques for enhancing recall."
"What are the major deserts in Asia?","Arid regions on a continent in geography."
"Explain the principles of thermodynamics.","Overview of the science of heat and energy."
"What are the different types of galaxies?","Classification of star systems in astronomy."
"Who composed the music for \"Für Elise\"?","Famous musical piece and its composer in music history."
"What is the function of the lungs?","Role of a vital organ in biology."
"How to plant a seed?","Basic gardening task instructions."
"What is the significance of the Renaissance?","Transformative historical period."
"Explain the concept of opportunity cost in economics.","Economic trade-off."
"What are the different types of soil?","Classification of earth materials in soil science."
"Describe the themes in the play \"Macbeth\".","Central ideas in a drama in literature."
"How does a television work?","Simplified explanation of TV technology."
"What are the benefits of reading fiction?","Positive impacts of reading imaginative stories."
"Who formulated the laws of motion?","Fundamental principles of mechanics in history of physics."
"What is the difference between an acid and a base?","Clarifying two types of chemical substances in chemistry."
"Explain the concept of machine learning.","Definition and overview of a type of AI."
"What are the essential spices for Indian cooking?","Key flavorings in a cuisine in culinary arts."
"What is the largest lake in the world by surface area?","Earth's biggest freshwater body in geography."
"Describe the process of photosynthesis in detail.","Specific biological process explained."
"How to write a formal email?","Instructions on professional electronic communication."
"What are the major mountain ranges in North America?","Significant continental landforms in geography."
"Explain the principles of electromagnetism.","Overview of the interaction of electric and magnetic fields."
"What are the different types of stars based on their life cycle?","Detailed astronomy of stellar evolution."
"Who wrote the novel \"1984\"?","Specific dystopian novel and its author in literature."
"What is the function of the pancreas?","Role of a specific digestive organ in biology."
"How to change a flat tire?","Practical vehicle maintenance task instructions."
"What is the significance of World War I?","Major global conflict."
"Explain the concept of fiscal policy in economics.","Government economic tools."
"What are the different types of sedimentary rocks and how are they formed?","Detailed geology of rock classification and formation."
"Describe the use of imagery in the poetry of Emily Dickinson.","Poetic techniques of a specific author in literature."
"How does a laser work?","Simplified explanation of laser technology."
"What are the cognitive benefits of playing video games?","Positive impacts of gaming on the brain."
"Who proposed the heliocentric model of the solar system?","Revolutionary scientific idea in history of astronomy."
"What is the difference between DNA and RNA?","Detailed biology of nucleic acids."
"Explain the concept of genetic engineering.","Definition and overview of a biotechnology field."
"What are the essential tools and techniques for wood carving?","Detailed craft of a specific artistic practice."
"What is the highest waterfall in the world?","Earth's tallest free-falling water in geography."
"Describe the process of plate tectonics.","Detailed geology of the movement of Earth's crust."
"How to write a persuasive essay?","Instructions on constructing a convincing argument in writing."
"What are the major deserts in Africa and their characteristics?","Detailed geography of arid regions on a continent."
"Explain the principles of general relativity.","Overview of a complex area of physics."
"What are the different types of nebulae?","Detailed astronomy of interstellar clouds."
"Who composed the opera \"The Magic Flute\"?","Specific opera and its composer in music history."
"What is the function of the adrenal glands?","Role of specific endocrine glands in biology."
"How to bake a loaf of sourdough bread from scratch?","Detailed culinary of a specific baking process."
"What is the saltiest sea in the world?","Body of water with high salinity in geography."
"Describe the structure of a plant cell.","Detailed biology of the components of a plant's basic unit."
"How to improve your public speaking skills?","Techniques for effective oral presentations."
"What are the major rivers in Europe and their significance?","Detailed geography of continental waterways and their importance."
"Explain the principles of evolution by natural selection in detail.","Very specific biological process explained thoroughly."
"What are the different types of stars and their properties?","Detailed astronomy of stellar classification and characteristics."
"Who wrote the play \"A Streetcar Named Desire\"?","Specific play and its author in literature."
"What is the function of the spleen?","Role of a specific organ in the immune system in biology."
"How to troubleshoot a common computer problem?","Instructions on resolving a typical technical issue."
"What is the significance of the Cold War?","Period of geopolitical tension."
"Explain the concept of monetary policy in economics.","Central bank economic tools."
"What are the different types of metamorphic rocks and how are they formed?","Detailed geology of rock classification and formation."
"Describe the use of symbolism in the short stories of Edgar Allan Poe.","Symbolic elements in a specific author's work in literature."
"How does a touch screen work?","Simplified explanation of touch-sensitive display technology."
"What are the social and ethical implications of artificial intelligence?","Broader societal impact of AI."
"Who discovered the structure of DNA?","Groundbreaking scientific discovery in history of biology."
"What is the difference between a benign and a malignant tumor?","Detailed biology/medicine of cancer."
